source,category,model,storage_gb,battery_health_pct,cosmetic_grade,carrier_locked,observed_price_usd,observed_at,external_id,title
ebay_sold,smartphones,iphone_13_pro,128,,B,false,264.29,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_1,"Apple iPhone 12 Pro Max - 128 GB - Pacific Blue (Unlocked)"
ebay_sold,smartphones,iphone_13_pro,128,,B,false,221.28,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_2,"Apple iPhone 12 Pro Max - 128GB - Unlocked (Read Description)"
ebay_sold,smartphones,iphone_13_pro,128,,B,false,320.25,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_3,"Apple iPhone 12 Pro Max 128GB - Fully Unlocked - VERY GOOD Condition"
ebay_sold,smartphones,iphone_13_pro,128,,B,false,345.09,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_4,"Apple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition"
ebay_sold,smartphones,iphone_13_pro,128,,B,false,380.37,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_5,"Apple iPhone 13 Pro Max 128GB Unlocked - Very Good"
ebay_sold,smartphones,iphone_13_pro,128,,B,false,366.89,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_6,"Apple iPhone 13 Pro Max 128GB Unlocked - Good"
ebay_sold,smartphones,iphone_13_pro,512,,B,false,316.11,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_7,"Apple iPhone 12 Pro Max, 128/256/512GB - Unlocked - Refurbished B Grade"
ebay_sold,smartphones,iphone_13_pro,512,,A,false,352.38,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_8,"Apple iPhone 12 Pro Max, 128/256/512GB - Unlocked - Refurbished Excellent"
ebay_sold,smartphones,iphone_13_pro,128,,B,false,147.64,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_9,"Apple iPhone 12 | 12 Pro | 12 Pro Max | 12 mini - Unlocked AT&T T-Mobile Verizon"
ebay_sold,smartphones,iphone_13_pro,128,,B,false,414.57,2026-04-14T12:00:00.000Z,ebay_iphone_13_pro_10,"Apple iPhone 13 Pro Max (Great Condition) - (Unlocked, AT&T, T-Mobile, Verizon)"
